Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
G3BP	na	13.0	13.0	12.0	14.0	12.0	13.0	8.0	11.0	11.0	12.0	13.0	14.0	11.0	12.0	13.0	13.0	12.0	13.0	11.0	13.0	13.0	11.0	13.0	13.0	12.0	11.0	11.0	11.0	13.0	11.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	14.0	12.0	13.0	13.0	9.0	13.0	12.0	13.0	13.0	11.0	11.0	12.0	13.0	13.0	14.0	13.0	15.0	14.0	13.0
PITPNA	na	7.0	7.0	4.0	4.0	6.0	5.0	4.0	2.0	3.0	4.0	3.0	4.0	6.0	4.0	4.0	7.0	4.0	6.0	1.0	7.0	5.0	2.0	7.0	5.0	2.0	2.0	4.0	6.0	5.0	4.0	7.0	5.0	6.0	5.0	4.0	6.0	6.0	7.0	6.0	6.0	7.0	7.0	5.0	3.0	6.0	3.0	2.0	1.0	4.0	6.0	5.0	7.0	4.0	6.0	7.0	5.0	7.0
TNFAIP8	na	6.0	5.0	5.0	6.0	4.0	6.0	5.0	2.0	4.0	4.0	7.0	7.0	7.0	5.0	4.0	6.0	4.0	7.0	4.0	7.0	4.0	3.0	7.0	4.0	4.0	4.0	4.0	7.0	5.0	8.0	8.0	5.0	8.0	6.0	5.0	4.0	7.0	7.0	6.0	7.0	7.0	8.0	5.0	8.0	5.0	5.0	5.0	4.0	3.0	6.0	5.0	6.0	7.0	6.0	6.0	6.0	8.0
NLRC3	na	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	2.0	3.0	4.0	3.0	1.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0
LIME1	na	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PQBP1	na	6.0	6.0	6.0	5.0	4.0	4.0	2.0	5.0	5.0	5.0	6.0	6.0	3.0	6.0	6.0	6.0	3.0	6.0	5.0	6.0	5.0	4.0	5.0	5.0	6.0	6.0	4.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	5.0	5.0	6.0	4.0	5.0	5.0	4.0	6.0	6.0	4.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	5.0
PHF3	na	13.0	15.0	17.0	10.0	10.0	11.0	11.0	3.0	13.0	11.0	12.0	7.0	16.0	14.0	17.0	15.0	10.0	12.0	8.0	10.0	17.0	8.0	16.0	17.0	6.0	9.0	14.0	18.0	15.0	13.0	18.0	15.0	17.0	12.0	15.0	10.0	13.0	14.0	16.0	15.0	14.0	8.0	15.0	13.0	14.0	10.0	9.0	13.0	10.0	9.0	12.0	13.0	14.0	16.0	15.0	16.0	14.0
NUP153	na	25.0	30.0	23.0	23.0	21.0	24.0	19.0	7.0	15.0	21.0	22.0	18.0	21.0	30.0	22.0	25.0	17.0	22.0	21.0	22.0	24.0	19.0	23.0	25.0	14.0	14.0	15.0	27.0	22.0	18.0	23.0	23.0	25.0	20.0	22.0	19.0	22.0	30.0	26.0	26.0	27.0	21.0	18.0	20.0	20.0	21.0	11.0	13.0	14.0	20.0	22.0	21.0	27.0	24.0	27.0	26.0	26.0
SLC25A46	na	0.0	1.0	1.0	3.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0
NUP133	na	18.0	19.0	17.0	18.0	20.0	20.0	19.0	6.0	15.0	13.0	18.0	12.0	20.0	12.0	16.0	19.0	14.0	13.0	6.0	21.0	18.0	17.0	21.0	20.0	4.0	10.0	13.0	17.0	18.0	19.0	20.0	19.0	16.0	21.0	18.0	19.0	19.0	22.0	21.0	22.0	21.0	19.0	15.0	20.0	18.0	14.0	9.0	9.0	16.0	19.0	19.0	17.0	18.0	19.0	23.0	22.0	19.0
PNPLA6	na	5.0	6.0	5.0	5.0	5.0	5.0	4.0	1.0	2.0	1.0	4.0	3.0	5.0	3.0	4.0	5.0	2.0	4.0	0.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	4.0	6.0	6.0	6.0	6.0	6.0	5.0	3.0	5.0	5.0	4.0	0.0	1.0	5.0	5.0	6.0	5.0	6.0	6.0	6.0	5.0	5.0
ISG15	na	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	2.0	3.0	5.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0
GOLGA2	na	6.0	6.0	6.0	8.0	4.0	5.0	5.0	3.0	5.0	4.0	8.0	9.0	6.0	7.0	7.0	7.0	4.0	6.0	4.0	7.0	7.0	2.0	6.0	9.0	2.0	5.0	3.0	5.0	7.0	7.0	8.0	6.0	9.0	3.0	5.0	4.0	7.0	7.0	7.0	8.0	7.0	6.0	6.0	8.0	5.0	3.0	2.0	6.0	3.0	6.0	6.0	7.0	6.0	3.0	7.0	8.0	5.0
HSPB1	na	6.0	5.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	6.0	4.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	5.0	4.0	6.0	4.0	6.0	6.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	5.0	5.0	6.0	6.0
HLA-A	na	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFAIP3	na	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	3.0	1.0	1.0	3.0	0.0	0.0	0.0	2.0	3.0	1.0	3.0	1.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0
SRPRB	na	10.0	11.0	9.0	10.0	8.0	8.0	7.0	3.0	5.0	8.0	9.0	8.0	11.0	6.0	7.0	10.0	8.0	9.0	3.0	7.0	10.0	8.0	10.0	10.0	3.0	7.0	7.0	11.0	10.0	9.0	9.0	9.0	10.0	11.0	9.0	8.0	9.0	10.0	10.0	9.0	10.0	9.0	7.0	11.0	7.0	8.0	6.0	5.0	8.0	9.0	10.0	10.0	9.0	9.0	10.0	9.0	11.0
ARPC3	na	11.0	12.0	10.0	10.0	11.0	10.0	11.0	11.0	11.0	11.0	12.0	13.0	11.0	12.0	12.0	12.0	11.0	12.0	8.0	11.0	11.0	10.0	12.0	10.0	11.0	10.0	10.0	10.0	11.0	11.0	14.0	15.0	12.0	14.0	12.0	13.0	13.0	12.0	13.0	11.0	11.0	14.0	11.0	14.0	12.0	12.0	10.0	12.0	9.0	10.0	11.0	13.0	13.0	14.0	13.0	12.0	12.0
HCFC1	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FARSB	na	24.0	23.0	23.0	23.0	22.0	21.0	20.0	17.0	19.0	16.0	25.0	23.0	23.0	21.0	24.0	23.0	21.0	23.0	14.0	24.0	23.0	19.0	24.0	22.0	18.0	20.0	17.0	22.0	21.0	23.0	23.0	23.0	20.0	26.0	22.0	25.0	24.0	24.0	25.0	24.0	25.0	25.0	23.0	21.0	25.0	22.0	18.0	20.0	18.0	23.0	24.0	23.0	25.0	24.0	24.0	25.0	22.0
BAG5	na	9.0	10.0	8.0	7.0	8.0	6.0	7.0	5.0	4.0	7.0	10.0	8.0	10.0	5.0	8.0	8.0	8.0	7.0	3.0	9.0	5.0	7.0	8.0	9.0	8.0	6.0	4.0	8.0	7.0	9.0	7.0	7.0	8.0	7.0	8.0	5.0	8.0	9.0	9.0	9.0	6.0	8.0	5.0	6.0	5.0	4.0	5.0	4.0	4.0	8.0	8.0	8.0	4.0	6.0	8.0	7.0	7.0
TDP2	na	2.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
SAP30BP	na	7.0	8.0	8.0	8.0	7.0	5.0	4.0	7.0	6.0	6.0	7.0	7.0	7.0	9.0	7.0	8.0	6.0	8.0	8.0	5.0	7.0	6.0	7.0	7.0	7.0	7.0	5.0	8.0	8.0	8.0	9.0	9.0	7.0	9.0	5.0	7.0	7.0	5.0	7.0	8.0	7.0	6.0	7.0	8.0	6.0	6.0	7.0	7.0	5.0	6.0	5.0	7.0	6.0	6.0	6.0	8.0	8.0
TRABD	na	6.0	5.0	4.0	7.0	4.0	4.0	4.0	3.0	1.0	2.0	4.0	4.0	3.0	6.0	3.0	5.0	2.0	3.0	2.0	5.0	6.0	4.0	5.0	5.0	2.0	3.0	3.0	6.0	5.0	4.0	6.0	5.0	6.0	6.0	6.0	7.0	6.0	8.0	6.0	6.0	7.0	7.0	5.0	2.0	5.0	5.0	2.0	2.0	6.0	4.0	6.0	5.0	4.0	7.0	6.0	6.0	7.0
ATL1-gamma	na	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
HDHD5	na	7.0	7.0	6.0	8.0	8.0	6.0	7.0	4.0	6.0	6.0	6.0	5.0	7.0	5.0	7.0	7.0	7.0	6.0	2.0	8.0	8.0	8.0	7.0	7.0	1.0	8.0	7.0	8.0	8.0	7.0	8.0	8.0	8.0	9.0	9.0	9.0	8.0	9.0	8.0	10.0	10.0	8.0	8.0	8.0	8.0	7.0	5.0	6.0	8.0	8.0	8.0	9.0	8.0	8.0	10.0	8.0	7.0
LBR	na	17.0	18.0	16.0	18.0	17.0	16.0	13.0	9.0	13.0	13.0	15.0	15.0	17.0	20.0	17.0	16.0	17.0	15.0	13.0	16.0	16.0	16.0	16.0	17.0	9.0	15.0	15.0	16.0	16.0	16.0	18.0	17.0	18.0	19.0	17.0	20.0	17.0	17.0	17.0	17.0	16.0	16.0	13.0	17.0	17.0	18.0	15.0	15.0	17.0	17.0	16.0	16.0	17.0	17.0	16.0	18.0	18.0
EPS15L1	na	19.0	20.0	19.0	16.0	17.0	19.0	12.0	14.0	18.0	17.0	19.0	16.0	14.0	15.0	17.0	15.0	15.0	17.0	8.0	14.0	19.0	13.0	17.0	18.0	9.0	16.0	11.0	15.0	17.0	18.0	20.0	19.0	17.0	11.0	14.0	14.0	17.0	16.0	14.0	18.0	17.0	18.0	12.0	17.0	12.0	11.0	8.0	8.0	17.0	9.0	17.0	14.0	16.0	15.0	18.0	15.0	13.0
FBXL8	na	5.0	4.0	6.0	4.0	3.0	6.0	1.0	4.0	1.0	4.0	2.0	7.0	2.0	2.0	3.0	3.0	3.0	6.0	1.0	3.0	4.0	2.0	5.0	1.0	2.0	3.0	1.0	4.0	4.0	5.0	5.0	5.0	3.0	5.0	3.0	4.0	3.0	4.0	5.0	4.0	4.0	5.0	2.0	4.0	4.0	4.0	2.0	0.0	1.0	5.0	5.0	4.0	1.0	3.0	4.0	2.0	4.0
C9orf78	na	10.0	10.0	10.0	9.0	10.0	11.0	9.0	11.0	10.0	11.0	11.0	11.0	9.0	10.0	11.0	10.0	9.0	10.0	7.0	10.0	10.0	8.0	10.0	11.0	10.0	9.0	9.0	11.0	10.0	11.0	11.0	10.0	10.0	10.0	10.0	10.0	10.0	11.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	9.0	10.0	10.0	9.0	10.0	11.0	10.0	12.0	10.0	10.0	10.0	10.0
NUCB2	na	16.0	13.0	11.0	6.0	9.0	8.0	8.0	11.0	15.0	15.0	16.0	16.0	5.0	12.0	15.0	9.0	13.0	14.0	9.0	14.0	13.0	12.0	16.0	14.0	14.0	7.0	4.0	6.0	14.0	15.0	15.0	14.0	16.0	12.0	11.0	14.0	13.0	11.0	13.0	14.0	15.0	15.0	14.0	14.0	13.0	8.0	16.0	12.0	9.0	15.0	13.0	14.0	9.0	7.0	15.0	15.0	6.0
TRAM1	na	3.0	4.0	3.0	4.0	4.0	4.0	3.0	2.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	3.0	0.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0
FLAD1	na	6.0	4.0	4.0	6.0	4.0	6.0	5.0	1.0	1.0	2.0	4.0	5.0	3.0	2.0	2.0	6.0	6.0	5.0	0.0	5.0	6.0	1.0	6.0	5.0	1.0	1.0	2.0	5.0	2.0	2.0	4.0	4.0	5.0	2.0	2.0	2.0	5.0	4.0	4.0	4.0	1.0	3.0	1.0	3.0	6.0	1.0	1.0	2.0	2.0	2.0	6.0	4.0	2.0	6.0	7.0	3.0	5.0
CCAR2	na	33.0	33.0	32.0	33.0	29.0	31.0	27.0	26.0	25.0	24.0	31.0	34.0	30.0	34.0	30.0	34.0	30.0	32.0	22.0	33.0	32.0	29.0	33.0	34.0	20.0	29.0	24.0	34.0	29.0	31.0	32.0	34.0	32.0	35.0	31.0	30.0	32.0	32.0	32.0	32.0	33.0	33.0	29.0	29.0	29.0	28.0	22.0	25.0	25.0	29.0	29.0	30.0	29.0	29.0	30.0	32.0	32.0
KIF5B	na	42.0	41.0	42.0	44.0	38.0	41.0	37.0	20.0	24.0	30.0	37.0	36.0	38.0	38.0	34.0	41.0	39.0	44.0	23.0	37.0	41.0	32.0	40.0	42.0	20.0	30.0	30.0	41.0	40.0	42.0	42.0	43.0	45.0	39.0	37.0	34.0	42.0	42.0	43.0	42.0	45.0	44.0	38.0	44.0	40.0	34.0	19.0	23.0	33.0	37.0	39.0	43.0	37.0	38.0	42.0	40.0	42.0
TRMT1	na	3.0	2.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	5.0	3.0	4.0	2.0	4.0	2.0	4.0	1.0	4.0	1.0	4.0	4.0	2.0	4.0	6.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	4.0	4.0	0.0	4.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	3.0	4.0	3.0	6.0	4.0
EMC10	na	0.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0
PAIP2	na	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0
SNRPD3	na	7.0	7.0	5.0	8.0	6.0	5.0	7.0	6.0	5.0	6.0	6.0	7.0	7.0	9.0	7.0	7.0	6.0	7.0	6.0	6.0	7.0	5.0	8.0	7.0	5.0	5.0	5.0	8.0	5.0	6.0	7.0	7.0	8.0	8.0	7.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	7.0	8.0	6.0	8.0	6.0	6.0	7.0	6.0	5.0	6.0	7.0	7.0	6.0	7.0	8.0
WAS	na	20.0	22.0	18.0	23.0	20.0	17.0	19.0	17.0	18.0	17.0	23.0	23.0	19.0	24.0	21.0	20.0	17.0	20.0	15.0	19.0	19.0	15.0	18.0	19.0	19.0	17.0	17.0	20.0	20.0	19.0	20.0	21.0	22.0	21.0	17.0	18.0	19.0	20.0	19.0	19.0	17.0	19.0	19.0	21.0	19.0	19.0	17.0	17.0	15.0	18.0	18.0	18.0	20.0	17.0	20.0	18.0	21.0
KRI1	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HEL-S-95n	na	10.0	12.0	10.0	14.0	10.0	10.0	12.0	10.0	10.0	9.0	13.0	12.0	11.0	11.0	10.0	13.0	10.0	13.0	5.0	10.0	11.0	9.0	11.0	13.0	10.0	10.0	7.0	11.0	10.0	11.0	13.0	11.0	12.0	12.0	11.0	12.0	11.0	13.0	12.0	13.0	13.0	13.0	12.0	13.0	12.0	8.0	10.0	9.0	10.0	11.0	12.0	13.0	12.0	11.0	14.0	14.0	11.0
KRT2	na	51.0	47.0	46.0	54.0	51.0	41.0	28.0	46.0	43.0	35.0	51.0	49.0	24.0	49.0	59.0	35.0	56.0	55.0	33.0	56.0	48.0	40.0	45.0	41.0	43.0	41.0	40.0	41.0	41.0	38.0	12.0	45.0	53.0	58.0	50.0	58.0	29.0	42.0	36.0	41.0	38.0	35.0	53.0	50.0	54.0	46.0	41.0	46.0	42.0	38.0	37.0	19.0	51.0	40.0	47.0	43.0	33.0
POLDIP2	na	4.0	4.0	4.0	3.0	4.0	4.0	3.0	0.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	4.0	1.0	1.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	3.0	3.0	5.0	1.0	4.0	3.0	4.0	5.0	4.0	3.0	1.0	4.0	2.0	1.0	3.0	0.0	3.0	2.0	5.0	3.0	1.0	5.0	5.0	4.0	5.0
ATP5MF-PTCD1	na	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0
LPP	na	3.0	6.0	4.0	7.0	4.0	4.0	2.0	3.0	3.0	3.0	7.0	7.0	4.0	5.0	5.0	5.0	3.0	7.0	4.0	3.0	4.0	3.0	3.0	3.0	7.0	5.0	1.0	2.0	4.0	3.0	5.0	5.0	5.0	3.0	2.0	3.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	6.0	4.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0
GAA	na	8.0	12.0	11.0	14.0	8.0	10.0	11.0	10.0	10.0	8.0	14.0	13.0	9.0	14.0	13.0	13.0	10.0	12.0	5.0	10.0	9.0	7.0	8.0	12.0	10.0	10.0	7.0	8.0	8.0	12.0	10.0	11.0	9.0	11.0	9.0	8.0	11.0	12.0	10.0	9.0	10.0	12.0	10.0	9.0	12.0	10.0	11.0	8.0	10.0	11.0	9.0	10.0	8.0	12.0	8.0	12.0	11.0
NUBP2	na	6.0	8.0	4.0	9.0	5.0	5.0	3.0	0.0	2.0	1.0	7.0	5.0	3.0	8.0	5.0	7.0	1.0	7.0	1.0	7.0	6.0	3.0	8.0	5.0	2.0	4.0	3.0	6.0	5.0	6.0	7.0	7.0	8.0	6.0	5.0	7.0	7.0	6.0	8.0	6.0	8.0	8.0	4.0	5.0	7.0	7.0	1.0	2.0	3.0	6.0	9.0	8.0	4.0	6.0	8.0	7.0	7.0
PPIL2	na	6.0	7.0	5.0	7.0	5.0	4.0	3.0	1.0	2.0	3.0	3.0	5.0	4.0	5.0	5.0	6.0	3.0	5.0	2.0	5.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	6.0	4.0	4.0	5.0	5.0	5.0	3.0	5.0	4.0	4.0	6.0	6.0	5.0	5.0	5.0	2.0	5.0	3.0	1.0	2.0	1.0	3.0	3.0	5.0	5.0	4.0	6.0	6.0	5.0	5.0
MACROH2A1	na	24.0	26.0	24.0	26.0	25.0	23.0	22.0	16.0	23.0	22.0	24.0	23.0	26.0	26.0	24.0	24.0	23.0	23.0	18.0	23.0	23.0	22.0	23.0	24.0	16.0	24.0	21.0	23.0	23.0	24.0	26.0	24.0	24.0	24.0	24.0	25.0	23.0	25.0	24.0	23.0	25.0	25.0	24.0	25.0	24.0	26.0	23.0	25.0	21.0	24.0	23.0	24.0	24.0	25.0	23.0	24.0	24.0
CLTC	na	72.0	78.0	65.0	90.0	71.0	74.0	75.0	60.0	58.0	62.0	81.0	79.0	70.0	65.0	66.0	74.0	76.0	86.0	34.0	79.0	74.0	60.0	80.0	73.0	58.0	70.0	59.0	74.0	68.0	81.0	87.0	81.0	82.0	88.0	73.0	86.0	86.0	86.0	86.0	86.0	90.0	92.0	77.0	86.0	85.0	74.0	60.0	57.0	65.0	85.0	79.0	80.0	82.0	81.0	86.0	83.0	86.0
SEC23B	na	13.0	13.0	14.0	13.0	12.0	15.0	16.0	3.0	7.0	6.0	9.0	8.0	13.0	9.0	10.0	14.0	11.0	13.0	2.0	14.0	12.0	9.0	11.0	13.0	6.0	8.0	9.0	12.0	9.0	11.0	11.0	13.0	12.0	11.0	11.0	12.0	13.0	14.0	11.0	13.0	12.0	16.0	7.0	9.0	10.0	3.0	5.0	7.0	9.0	7.0	9.0	14.0	9.0	9.0	14.0	12.0	13.0
RPS19	na	15.0	13.0	16.0	15.0	12.0	15.0	14.0	16.0	14.0	17.0	18.0	17.0	14.0	20.0	16.0	16.0	11.0	14.0	17.0	14.0	12.0	14.0	14.0	16.0	15.0	15.0	14.0	16.0	13.0	15.0	16.0	17.0	16.0	19.0	17.0	18.0	17.0	18.0	17.0	16.0	16.0	18.0	18.0	16.0	17.0	18.0	17.0	17.0	15.0	16.0	17.0	19.0	17.0	18.0	15.0	18.0	17.0
MECP2	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
TOP2B	na	47.0	45.0	43.0	43.0	45.0	44.0	41.0	8.0	39.0	42.0	41.0	32.0	47.0	43.0	42.0	47.0	40.0	38.0	14.0	45.0	47.0	41.0	46.0	43.0	12.0	40.0	38.0	48.0	46.0	42.0	45.0	43.0	46.0	47.0	46.0	46.0	48.0	51.0	50.0	48.0	47.0	46.0	42.0	46.0	47.0	38.0	30.0	29.0	41.0	49.0	46.0	48.0	46.0	48.0	50.0	48.0	45.0
OLA1	na	15.0	17.0	16.0	18.0	14.0	16.0	14.0	16.0	12.0	13.0	18.0	17.0	15.0	13.0	17.0	18.0	16.0	18.0	6.0	17.0	17.0	12.0	19.0	16.0	14.0	16.0	11.0	18.0	12.0	19.0	18.0	19.0	18.0	16.0	14.0	17.0	16.0	17.0	16.0	16.0	17.0	18.0	13.0	15.0	16.0	13.0	12.0	10.0	13.0	16.0	12.0	14.0	16.0	17.0	19.0	16.0	18.0
LYRM7	na	2.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0
TMLHE	na	5.0	6.0	4.0	5.0	5.0	3.0	3.0	2.0	5.0	2.0	6.0	5.0	3.0	3.0	5.0	4.0	2.0	2.0	0.0	3.0	5.0	1.0	5.0	4.0	1.0	5.0	3.0	3.0	3.0	5.0	5.0	6.0	1.0	3.0	2.0	3.0	4.0	4.0	3.0	2.0	5.0	5.0	2.0	3.0	3.0	0.0	2.0	2.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	6.0
